"","Percentile","variable","value"
"1",0,"lm_rmse",77848.9161036724
"2",5,"lm_rmse",54012.620965419
"3",10,"lm_rmse",45269.3534857221
"4",15,"lm_rmse",46978.7025635539
"5",20,"lm_rmse",45184.4620423606
"6",25,"lm_rmse",42295.3446140111
"7",30,"lm_rmse",38315.2439639593
"8",35,"lm_rmse",41169.8763118813
"9",40,"lm_rmse",39019.1190564076
"10",45,"lm_rmse",47815.8939186629
"11",50,"lm_rmse",49709.8146529925
"12",55,"lm_rmse",46438.0206851342
"13",60,"lm_rmse",50408.3341691796
"14",65,"lm_rmse",47380.6517973179
"15",70,"lm_rmse",51919.7871638535
"16",75,"lm_rmse",41156.7055441744
"17",80,"lm_rmse",61816.9469939155
"18",85,"lm_rmse",73167.372270169
"19",90,"lm_rmse",80123.148832089
"20",95,"lm_rmse",182624.749144997
"21",0,"knn_rmse",70328.3607817937
"22",5,"knn_rmse",46776.3546032763
"23",10,"knn_rmse",36411.2487550942
"24",15,"knn_rmse",35281.9032276686
"25",20,"knn_rmse",41447.0508435454
"26",25,"knn_rmse",39942.753931503
"27",30,"knn_rmse",37274.2369710073
"28",35,"knn_rmse",43359.6823290497
"29",40,"knn_rmse",43119.9789098855
"30",45,"knn_rmse",49925.3282141109
"31",50,"knn_rmse",54013.5093165861
"32",55,"knn_rmse",55569.3672621216
"33",60,"knn_rmse",61811.3906177552
"34",65,"knn_rmse",63996.4599604784
"35",70,"knn_rmse",69068.701438421
"36",75,"knn_rmse",68431.3992153434
"37",80,"knn_rmse",80851.5020105409
"38",85,"knn_rmse",102432.28882665
"39",90,"knn_rmse",112780.613406899
"40",95,"knn_rmse",242381.250992597
